section,section_id,section_sis_id,submitted,attempt,2253791: How many classes have you missed so far this quarter?,1.0,"2253792: If you had a choice, what is your ideal exam day?",1.0,"2253793: How would you rate the difficulty of the material in ""Part 2"" (Chapters 5-8)?",1.0,2253794: How would you rate the demands of theactivities?,1.0,"2253795: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1.0,2253796: How would you rate the usefulness of the lecture slides?,1.0,2253797: What are your thoughts on the course website?,1.0,2253798: Which method do you usually use to complete the reading checks?,1.0,"2253799: I have had frequent ""loading issues"" with the reading checks (freezes and need to ""restart"" from beginning).",1.0,2253800: Provide your view on Aha Slides,1.0,2253801: Did you actually study for the exam?,1.0,2253802: How would you rate thedifficultyof Exam 2?,1.0,"2253803: How would you rate the fairness ofExam 2?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1.0,"2253804: If a future student were to ask the best way to study for an exam, what material would you suggest?",1.0,"2253805: Please provide any general thoughts or critiques you may have concerning the material (Chapter 5-8) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1.0,n correct,n incorrect,score
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 04:23:19 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,5 - Too demanding,1.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Hate it - go back to Canvas,0.0,Link,0.0,1 - 3 times,0.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Practice Exam,Other",0.0,"I thought that the regression chapters were pretty difficult. I actually did better on this exam than the last one, but I had to work very hard for it.",0.0,5,10,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 04:06:55 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,9,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 03:54:48 UTC,1,3 or 4,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,0-1 hours,1.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Practice Exam",0.0,I would like more opportunities to earn points on the exam. Three points off and I'm already at a A- is no fun.,0.0,8,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 03:53:45 UTC,1,1 or 2,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Don't care either way,0.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"",0.0,4,11,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 02:59:57 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,Link,0.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam,Other",0.0,"",0.0,4,11,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 02:51:19 UTC,1,3 or 4,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"",0.0,9,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 02:40:10 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,Frequent issue,0.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Practice Exam,Other",0.0,"What really helped me understand the difference between cluster and stratified was when we looked at the movies data separated by year and it showed the ""Observations per stratum, sample observations in red, unselected observations in gray"". Seeing how in cluster the whole group turned red really helped me understand the difference with stratified when had a little red in every group.",0.0,7,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 02:33:53 UTC,1,0,1.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Practice Exam,0.0,"",0.0,6,9,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 02:30:32 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Not as much as I should have,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"",0.0,4,11,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 02:30:31 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,Frequent issue,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,5 - Very difficult,1.0,4 - fair,0.0,"Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"I think the amount I studied for Exam 2 didn't translate well into my grade. I think the material of Chapters 5-8 is useful, but I don't think it (conceptually) was presented to us in a way that made it easy to discern details/differences that are important for the exam's concept portion. Generally, my code always runs, but it's conceptual things that ultimately bring down my grades on my exams",0.0,7,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 02:13:17 UTC,1,0,1.0,Friday,0.0,4- Somewhat difficult,0.0,5 - Too demanding,1.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides provide no benefit to lecture,0.0,Not as much as I should have,0.0,5 - Very difficult,1.0,2 - not fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,N/A,0.0,7,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 01:14:23 UTC,1,5 or more,0.0,Friday,0.0,5 - Very difficult,1.0,5 - Too demanding,1.0,7 or more hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,5 - Very difficult,1.0,3 - Neither fair nor unfair,0.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Lectures on Zoom,0.0,7,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 01:12:12 UTC,1,1 or 2,0.0,Wednesday,0.0,5 - Very difficult,1.0,5 - Too demanding,1.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,5 - Very difficult,1.0,2 - not fair,0.0,Practice Exam,0.0,Having no experience with coding this class has been pretty difficult especially with the speed of the way the class runs. The material gets confusing easily and it is hard to break down personally. ,0.0,8,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 01:03:22 UTC,1,3 or 4,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam,Other",0.0,"",0.0,4,11,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 00:20:52 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks",0.0,"",0.0,4,11,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 00:16:04 UTC,1,0,1.0,Friday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,2 - not fair,0.0,"Review Reading Checks,End of Chapter Textbook Exercises",0.0,It would be helpful if we did notes longer in class and if you posted the work you added on the note slides afterward.,0.0,5,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 00:14:48 UTC,1,1 or 2,0.0,Monday,1.0,5 - Very difficult,1.0,4 -,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,5 - Very difficult,1.0,3 - Neither fair nor unfair,0.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,7,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 00:11:14 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,8,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 23:58:54 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Practice Exam,Other",0.0,"",0.0,4,11,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 23:53:30 UTC,1,1 or 2,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,4 -,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,I think the material in chapter 5-8 was a bit more involved and I struggled more with interpretation and determining how much information was right/wrong to include in an answer.,0.0,4,11,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 23:21:21 UTC,1,3 or 4,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,"End of Chapter Textbook Exercises,Practice Exam,Other",0.0,The textbook/website is incredibly helpful!! It's pretty much the only thing I use to study and it's worked really well so far. ,0.0,6,9,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 23:20:50 UTC,1,1 or 2,0.0,Friday,0.0,5 - Very difficult,1.0,5 - Too demanding,1.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Practice Exam,0.0,"the review video was super helpful

 ",0.0,5,10,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 23:14:40 UTC,1,1 or 2,0.0,Friday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,Frequent issue,0.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"",0.0,4,11,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 23:08:24 UTC,1,0,1.0,Monday,1.0,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,2 - Somewhat easy,0.0,4 - fair,0.0,"Practice Exam,Other",0.0,"",0.0,8,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 22:39:34 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,6,9,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 22:34:39 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,Practice Exam,0.0,"I think that this section was more difficult that the first section of the class and I also think having the learning checks due after class made it harder for me to actually learn the topics because even though the readings were meant to be done before class I never did that and I do not think other students did either, having the reading checks due before class made sure that  it was done and i had at least a little understanding before attempting the activity.",0.0,7,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 22:06:42 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,Practice Exam,0.0,n/a,0.0,5,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 21:42:08 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,1 - 3 times,0.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,2 - not fair,0.0,"Review Activities,Practice Exam",0.0,"I find the application section of the exam to be more difficult and demanding than I am prepared for. I think that is becuase for all the activities I can rely on my peers and the textbook, I don't end up actually learning how to the best way to resolve this issue. ",0.0,6,9,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 21:39:11 UTC,1,3 or 4,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,"Practice Exam,Other",0.0,"I thought that the material was interesting, but it was a lot of content to cover. Otherwise, it was good because I saw the connection between basic and multiple regression, and the content about randomization and population generalizations would not incredibly difficult. ",0.0,5,10,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 21:22:09 UTC,1,5 or more,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,6,9,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-29 21:12:38 UTC,1,3 or 4,0.0,Friday,0.0,5 - Very difficult,1.0,5 - Too demanding,1.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,Frequent issue,0.0,No opinion on Aha Slides,0.0,Not as much as I should have,0.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,"",0.0,"",0.0,5,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 21:11:47 UTC,1,1 or 2,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides provide no benefit to lecture,0.0,Yes,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"I liked the flow of learning in chapter 5 through 8. I would appreciate a little more indepthness in sampling methods, because it feels like we quickly went over the topic with only 2 or 3 examples, not really giving the full depth of the complexity of sampling methods.",0.0,6,9,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-29 21:09:45 UTC,1,1 or 2,0.0,Friday,0.0,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,"",0.0,4,11,1.0
