section,section_id,section_sis_id,submitted,attempt,"2253763: How would you rate the difficulty of the material in ""Part 1"" (Chapters 1-4)?",1.0,2253764: How would you rate the demands of theactivities?,1.0,"2253765: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1.0,2253766: How would you rate the usefulness of the lecture slides?,1.0,2253767: What are your thoughts on the course website?,1.0,2253768: Which method do you usually use to complete reading checks?,1.0,"2253769: Have you experienced any technical difficulties with the reading checks (ie: completely freezes and need to click ""Start Over"" to get it to work)?",1.0,2253770: Provide your view on Aha Slides participation (can select multiple),1.0,"2253771: This class utilizes an active learning teaching style (partially flipped).
Provide your opinions on the teaching style.",1.0,2253772: How would you rate thedifficultyof Exam 1?,1.0,"2253773: How would you rate the fairness ofExam 1?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1.0,"2253774: Please provide any general thoughts or critiques you may have concerning the material (Chapter 1-4) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1.0,n correct,n incorrect,score
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 04:16:25 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,1-2 times,0.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,I completely enjoy the way the class is structured. It keeps me engaged with the material because it to just full lecturing the entire time. ,0.0,5,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 04:14:50 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,4 -,0.0,Don't care either way,0.0,app link,1.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"",0.0,5,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 03:56:20 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,1-2 times,0.0,No opinion on Aha slides,0.0,Would prefer fully flipped! (Watch lecture videos outside of class and spend entire time working on activity.),0.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"I really appreciate how organized everything is, and the clear directions really help neurodivergent people like me. I think you should stay committed to providing clear directions and most importantly making clear where specific tasks are (slides, homework, exams, syllabus, etc).",0.0,4,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 03:46:03 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,No opinion on Aha slides,0.0,Would prefer fully flipped! (Watch lecture videos outside of class and spend entire time working on activity.),0.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"I really enjoyed the layout for chapters 1-4, as it was an easy to understand introduction to visualizing data and working with R. I really like how the textbook explains the technical details of working in the program, such as how it explains each variable in a data table or the warning/error messages you will get for a certain problem. I felt that on the exam there was a large focus on interpreting and describing that technical work, but nothing too crazy at all.",0.0,5,7,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 03:38:22 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Don't care either way,0.0,Posit Cloud Project,0.0,No issues,1.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"",0.0,3,9,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-16 03:30:38 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,1-2 times,0.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,6,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 03:06:06 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,app link,1.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,7,5,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-16 02:30:49 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,2 - not fair,0.0,I really wish the practice exam for exam 1 better reflected what we'd actually be tested on. I felt like there were some details that were very briefly touched on that I was surprised to see on the exam. ,0.0,6,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 02:24:06 UTC,1,4- Somewhat difficult,0.0,4 -,0.0,5-7 hours,0.0,4 -,0.0,Don't care either way,0.0,app link,1.0,1-2 times,0.0,Aha slides provides no benefit to the lecture,0.0,Would prefer fully flipped! (Watch lecture videos outside of class and spend entire time working on activity.),0.0,5 - Very difficult,1.0,4 - fair,0.0,"From coming from someone who has no experience in coding or stats, I feel like the course material should be explained more in class. I understand reading the textbook sections before hand, but since it is such a big class I think slowing down a little bit and going in debt with some material that is confusing would help too. ",0.0,3,9,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-16 02:22:46 UTC,1,3 - Neither difficult nor easy,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,1-2 times,0.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"",0.0,6,6,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-16 01:52:23 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,Doesn't matter to me.,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,"I enjoyed the material, and the way the course is structured provides a fair way to begin coding in R. I thought that there was a noticeable increase in the difficulty of the activities by the end of chapter 3, but I think this is likely a result of the greater capability of what we can do with data wrangling, tidy data, and linear regression, compared to simply plotting and observing data. ",0.0,4,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 01:42:06 UTC,1,5 - Very difficult,1.0,5 - Too demanding,1.0,5-7 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,1-2 times,0.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,5 - Very difficult,1.0,2 - not fair,0.0,"",0.0,6,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 01:02:56 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Don't care either way,0.0,app link,1.0,No issues,1.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,"I really would appreciate if we had access to answer keys. While I understand we're meant to treat a lot of these activities as learning opportunities, it is difficult for me to recognize my mistakes if I can not have the actual answer to a problem I answered incorrectly.",0.0,4,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 23:55:19 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,1-2 times,0.0,Aha slides makes lectures more engaging,1.0,Doesn't matter to me.,0.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,To me all the material seemed very comprehensive and useful. The textbook is simple to read and helps a lot.,0.0,5,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-15 22:54:32 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,No issues,1.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"",0.0,5,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-15 22:33:08 UTC,1,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"I am a theatre major who never thought that I would find myself in a statistics class. I felt so afraid of this class and it's content before starting this class. However, I feel so grateful because this class is clearly designed with students like me in mind, students who have never taken any high level math and are afraid of stats. The repetition of what we learn (reading, lecture, activity, reading check) really helps the knowledge sink in. THANK YOU!",0.0,7,5,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 22:11:42 UTC,1,5 - Very difficult,1.0,5 - Too demanding,1.0,3-5 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,Aha slides provides no benefit to the lecture,0.0,Would prefer full lecture (completely on your own for activity outside of class),0.0,4- Somewhat difficult,0.0,4 - fair,0.0,I really wish we did some more conceptualizing in class rather than jumping head first into the activities. ,0.0,6,6,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-15 21:59:44 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,No issues,1.0,Aha slides provides no benefit to the lecture,0.0,Would prefer fully flipped! (Watch lecture videos outside of class and spend entire time working on activity.),0.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,4,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 21:31:50 UTC,1,4- Somewhat difficult,0.0,5 - Too demanding,1.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,1-2 times,0.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"",0.0,6,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 21:11:06 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,3-4 times,0.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,I really liked the way class has been run. I think the reading checks are very useful to retain and understand what is important from the reading. And then doing the activity helps fully solidify the knowledge. ,0.0,5,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-15 20:41:57 UTC,1,3 - Neither difficult nor easy,0.0,4 -,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,Aha slides provides no benefit to the lecture,0.0,Would prefer full lecture (completely on your own for activity outside of class),0.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"I think the textbook could pay more attention to the interpretation of data, summary statistics, graphs.",0.0,5,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-15 20:39:28 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,1-2 times,0.0,"Aha slides provides no benefit to the lecture,No opinion on Aha slides",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,4,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-15 19:11:52 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,Would prefer fully flipped! (Watch lecture videos outside of class and spend entire time working on activity.),0.0,2 - Somewhat easy,0.0,4 - fair,0.0,"",0.0,4,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-15 18:42:05 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,n/a,0.0,6,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 18:12:05 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,3-4 times,0.0,Aha slides makes lectures more engaging,1.0,Doesn't matter to me.,0.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,1 -4 were ok but it has been difficult learning the next few chapters,0.0,3,9,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 17:32:00 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,3-4 times,0.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,I think we should go over the material for a longer period of time during class. ,0.0,4,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 17:31:41 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,1-2 times,0.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"I loved the way the material was covered in class, but I found that a majority of where I was lacking in the exam was in the conceptual questions. Even though I read back through the textbook before the exam, I found that there were some conceptual questions I encountered that I still didn't have a full grasp of. I'd love spending some time before the next exam (maybe even as little as half of a class) where we might go over the conceptual ideas of the chapters that will be covered in the exam. Other than that, I love the course structure - I really am enjoying delving into Data Science.",0.0,5,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-15 16:20:53 UTC,1,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,No issues,1.0,Aha slides provides no benefit to the lecture,0.0,Would prefer fully flipped! (Watch lecture videos outside of class and spend entire time working on activity.),0.0,4- Somewhat difficult,0.0,4 - fair,0.0,"",0.0,3,9,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 16:16:00 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Hate it - go back to Canvas,0.0,app link,1.0,3-4 times,0.0,Aha slides provides no benefit to the lecture,0.0,Would prefer full lecture (completely on your own for activity outside of class),0.0,4- Somewhat difficult,0.0,4 - fair,0.0,Overall good class,0.0,3,9,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-15 14:02:52 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"As this is a flipped style class, I would appreciate if we had a bit more time to work on the activity during class. Often, we only have around 10-15 minutes, rather than half the class. It becomes a lot of work spending time preparing before class and then still needing to finish the majority of our activities alone after class. As far as the material, I am finding it very interesting and useful, and the activities do a great job helping me apply everything I've learned in multiple situations. ",0.0,6,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 04:40:47 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"I think the material has been formatted well. I think the way we went from the introduction to R, then visualizing data and sorting it has been helpful and engaging. I have more confidence knowing that we have all our bases covered.",0.0,6,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 04:04:49 UTC,1,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,4 -,0.0,Don't care either way,0.0,Posit Cloud Project,0.0,1-2 times,0.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"Class is descent so far, but I feel like the multiple choice on the test should have more direct concepts presented during lecture. ",0.0,2,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-15 02:09:10 UTC,1,1 - Very easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,No issues,1.0,Aha slides provides no benefit to the lecture,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"everything is great and clear, i love the clarity of the textbook and class organization.",0.0,5,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-15 00:36:17 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"",0.0,6,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-14 22:39:21 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"",0.0,7,5,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-14 21:25:51 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Don't care either way,0.0,Posit Cloud Project,0.0,1-2 times,0.0,"Aha slides makes lectures more engaging,No opinion on Aha slides",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"",0.0,2,10,1.0
